stid,timestamp,lat,lon,alt
CEN2,2024-11-28 15:00:00,77.1819384,-61.1158773,1890.0008
CP1,2024-11-28 15:00:00,69.871173,-47.0446544,1950.095
DY2,2024-11-28 15:00:00,66.4825983,-46.2948279,2126.8601
EGP,2024-11-28 15:00:00,75.6277998,-35.9677537,2667.2753
FRE,2024-11-28 00:00:00,74.3880639,-20.8332314,679.3572
HUM,2024-11-28 15:00:00,78.5290945,-56.8454487,1966.1876
JAR,2023-01-26 16:00:00,69.4921026,-49.7207805,907.5841
JAR_O,2024-11-28 15:00:00,69.4941248,-49.6738008,928.0622
KAN_B,2023-01-01 00:00:00,67.1252,-50.1832,350.0
KAN_L,2024-08-24 12:00:00,67.093261,-49.9695334,628.5013
KAN_Lv3,2024-11-28 15:00:00,67.1047854,-49.9335071,686.8474
KAN_M,2024-11-28 00:00:00,,,
KAN_Tv3,2024-11-28 15:00:00,67.1509097,-50.0351517,502.1263
KAN_U,2024-11-28 15:00:00,67.0008035,-47.0359285,1847.8146
KPC_L,2024-11-28 00:00:00,79.9107877,-24.0803003,359.266
KPC_Lv3,2023-01-08 16:00:00,79.9138787,-24.0933172,373.1709
KPC_U,2024-11-28 00:00:00,79.8352052,-25.1609544,865.882
KPC_Uv3,2023-01-20 11:00:00,79.834922,-25.1623762,865.972
LYN_L,2024-11-28 00:00:00,69.3189454,-53.543621,539.2297
MIT,2024-11-28 00:00:00,65.6919106,-37.8300791,426.1999
NAE,2024-11-28 15:00:00,75.0026525,-29.978551,2625.8823
NAU,2024-11-28 15:00:00,73.8405465,-49.5359891,2333.4004
NEM,2024-11-28 15:00:00,77.4414436,-51.0842722,2453.9936
NSE,2024-11-28 15:00:00,66.4774595,-42.4927158,2383.2565
NUK_B,2024-11-28 15:00:00,64.4614425,-50.1527179,108.2124
NUK_K,2024-11-28 15:00:00,64.1623056,-51.3586456,703.2694
NUK_L,2024-11-28 00:00:00,64.484426,-49.5559952,475.5925
NUK_N,2014-07-25 11:00:00,64.9452,-49.885,920.0
NUK_P,2024-11-28 15:00:00,,,
NUK_Uv3,2024-11-28 15:00:00,64.5087235,-49.2881533,1113.3127
ORO,2024-11-28 15:00:00,56.1275824,10.1929709,51.7892
QAS_A,2015-08-24 17:00:00,61.243,-46.7328,1000.0
QAS_L,2024-09-01 07:00:00,61.0303846,-46.8498593,229.9648
QAS_Lv3,2024-11-28 15:00:00,61.0306179,-46.8495776,232.8586
QAS_Mv3,2024-11-28 15:00:00,61.1096515,-46.8084231,674.2318
QAS_Uv3,2024-11-28 15:00:00,61.1717948,-46.823001,882.4101
RED_Lv3,2024-11-28 15:00:00,76.9256552,-66.96486,768.0007
Roof_GEUS,2024-11-28 15:00:00,55.6885086,12.5821272,27.5103
SCO_L,2024-08-12 12:00:00,,,
SCO_Lv3,2024-11-28 15:00:00,72.216227,-26.8163727,438.7053
SCO_U,2024-08-13 12:00:00,,,
SCO_Uv3,2024-11-28 15:00:00,72.3917465,-27.2092351,972.5658
SDL,2024-11-28 15:00:00,66.0002148,-44.5027801,2475.2693
SDM,2024-11-28 15:00:00,63.1489243,-44.8173925,2896.7804
SER_B,2024-11-28 14:00:00,65.6797287,-37.9173616,28.233
SWC,2023-02-14 20:00:00,69.5524568,-49.3759111,1119.9245
SWC_O,2024-11-28 15:00:00,69.5938731,-49.2846998,1156.9051
TAS_A,2024-09-06 18:00:00,65.7738939,-38.8894618,873.41
TAS_Av3,2024-11-28 15:00:00,65.7736347,-38.8893905,876.6373
TAS_L,2024-11-28 00:00:00,65.6390616,-38.8992294,227.2164
TAS_U,2015-08-13 14:00:00,65.6978,-38.8668,570.0
THU_L,2024-11-28 00:00:00,76.3998529,-68.2676629,563.2876
THU_L2,2024-11-28 00:00:00,76.3930439,-68.2653005,571.0534
THU_U2v3,2024-11-28 15:00:00,76.3901233,-68.1107846,744.0658
TUN,2024-11-28 15:00:00,78.0194008,-33.9604184,2078.6069
UPE_L,2024-11-28 00:00:00,72.8933702,-54.2958327,197.9249
UPE_U,2024-11-28 00:00:00,72.8849195,-53.6233391,906.5535
UWN,2024-11-23 00:00:00,61.6860327,7.1974645,553.3242
WEG_B,2024-10-20 05:00:00,71.1414626,-51.2220489,17.9706
WEG_L,2024-11-28 15:00:00,71.2048126,-51.1008713,933.3303
XXX,2023-10-02 15:00:00,,,
ZAC_A,2024-06-04 16:00:00,74.6475153,-21.6520263,1482.7101
ZAC_Lv3,2024-11-28 15:00:00,74.6240729,-21.3742448,625.042
ZAC_Uv3,2024-07-28 03:00:00,74.643252,-21.4610573,864.7558
